author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Johann Schenkl,"Tippverhaltenserkennung auf Basis benutzerindividueller, fester Eingabetexte.",University of Regensburg,2012,1-254,"https://nbn-resolving.org/urn:nbn:de:101:1-2015020111809, https://d-nb.info/1027238386, https://d-nb.info/1066197342",Shaker,,,,,,,,,,,,,978-3-8440-1396-2,,,
Katharina Schott,Vendor managment in global IS outsourcing projects.,Goethe University Frankfurt am Main,2011,,https://d-nb.info/1016841434,,,,,,,,,,,,,,,,,
Harry Kreuzmann,Theoretische Bilanz und erste schulpraktische Ergebnisse der Lehrplanarbeiten zum Computergrundkurs im ESP-Unterricht der Klasse 9.,"Akademie der Pädagogischen Wissenschaften der DDR, Berlin, Germany",1988,,"https://d-nb.info/890631468, https://d-nb.info/900038527",,,,,,,,,,,,,,,,,
Yücel Karabulut,Secure mediation between strangers in cyberspace.,"Technical University of Dortmund, Germany",2002,1-205,"http://eldorado.uni-dortmund.de:8080/0x81d98002_0x00054793, https://nbn-resolving.org/urn:nbn:de:101:1-201103291222, https://d-nb.info/965609057, https://d-nb.info/96568976X",,,,,,,,,,,,,,,,,
Dominic Wist,Attacking complexity in logic synthesis of asynchronous circuits.,University of Potsdam,2012,,"http://opus.kobv.de/ubp/volltexte/2012/5970/, https://nbn-resolving.org/urn:nbn:de:kobv:517-opus-59706, https://d-nb.info/1022935313",,,,,,,,,,,,,,,,,
Jörg Schepers,GRAPH - eine auf Petri-Netzen basierende Entwicklungsumgebung für verteilte Systeme.,"University of Kiel, Germany",1990,1-196,"https://d-nb.info/910433690, https://d-nb.info/910813817",,,,,,,,,,,,,,,,,
Klaus Moritzen,Softwarehilfsmittel zur Programmierung von Multiprozessoren mit begrenzten Nachbarschaften: e. Beitr. zur Konfigurationsverwaltung.,"University of Erlangen-Nuremberg, Germany",1986,1-157,https://d-nb.info/871375265,,,,,,,,,,,,,,,,,
Martin Elixmann,Konstruktion eines dezentral arbeitenden Kommunikationsmechanismus für mehrstufige Prozessorganisation.,"University of Kiel, Germany",1984,1-120,https://d-nb.info/850153476,,,,,,,,,,,,,,,,,
Christoph Benzmüller,Equality and extensionality in automated higher order theorem proving.,"Saarland University, Saarbrücken, Germany",1999,1-134,"http://scidok.sulb.uni-saarland.de/volltexte/2004/165/index.html, https://nbn-resolving.org/urn:nbn:de:bsz:291-scidok-1657, https://d-nb.info/958437920, https://d-nb.info/972339779",,,,,,,,,,,,,,,,,
Martin Fischer 0006,Fuzzy-modellbasierte Regelung nichtlinearer Prozesse.,"Darmstadt University of Technology, Germany",1999,1-170,https://d-nb.info/95660675X,VDI-Verlag,,,,,,,,,,,,,978-3-18-375008-5,,,
Isil Burcu Barla Harter,Optimization of resilience in virtual networks.,"Technical University Munich, Germany",2015,1-223,https://d-nb.info/1090933991,,,,,,,,,,,,,,978-3-937201-48-1,,,
Gundo H. Riechelmann,Quasianaloger Materialflusssimulator - ein Instrument zur Untersuchung von Betriebsabläufen in komplexen fördertechnischen Systemen.,"Ruhr University Bochum, Germany",1982,1-48,https://d-nb.info/850186145,"Ruhr-Univ., Lehrstuhl für Maschinenelemente u. Fördertechnik",,,,,,,,,,,,,,,,
Manfred Schaschek,"Politökonomische Analyse der Effektivität des Einsatzes der Industrierobotertechnik, unter besonderer Beachtung der Erfordernisse umfassender Intensivierung.","Dresden University of Technology, Germany",1986,,https://d-nb.info/900804645,,,,,,,,,,,,,,,,,
Heike Winschiers,Dialogical system design across cultural boundaries: system design out of Africa.,"University of Hamburg, Germany",2001,1-206,"http://www.sub.uni-hamburg.de/disse/482/Disse.pdf, https://nbn-resolving.org/urn:nbn:de:gbv:18-4820, https://d-nb.info/962856266, https://d-nb.info/963272756",,,,,,,,,,,,,,,,,
Klaus-Peter A. Wachsmann,Fehlermodelle für höhere Hardware-Beschreibungen beim Entwurf grosser VLSI-Chips.,"Braunschweig University of Technology, Germany",1994,1-197,https://d-nb.info/943590493,,,,,,,,,,,,,,,,,
Dominikus Krüger,Komplexitätsanalyse verschiedener Wahlprobleme zur Beeinflussung des Wahlausgangs.,"University of Ulm, Germany",2016,1-172,https://d-nb.info/1122582625,,,,,,,,,,,,,,,,,
Thiemo Alldieck,Reconstructing 3D human avatars from monocular images.,"Braunschweig University of Technology, Germany",2020,1-195,https://d-nb.info/1216728755,,,,,,,,,,,,,,,,,
Rainer Palm,"Aktion, Reaktion und Wechselwirkung bei sensorgeführten Robotern.","Academy of Sciences of the German Democratic Republic, Germany",1989,,https://d-nb.info/900106476,,,,,,,,,,,,,,,,,
Gabriele Veldkamp,Zukunftsorientierte Gestaltung informationstechnologischer Netzwerke im Hinblick auf die Handlungsfähigkeit des Menschen.,"RWTH Aachen University, Germany",1996,1-232,https://d-nb.info/94743173X,,,,,,,,,,,,,,3-86073-318-4,,,
Janine Metten,Integration bildgebender Verfahren in den vorklinischen Anatomieunterricht: Evaluationsergebnisse des Medizindidaktischen Pilotprojektes Düsseldorf.,"University of Düsseldorf, Germany",2003,,"http://diss.ub.uni-duesseldorf.de/ebib/diss/file?dissid=524, https://nbn-resolving.org/urn:nbn:de:hbz:061-20030530-000524-5, https://d-nb.info/968536352",,,,,,,,,,,,,,,,,
Michael Neubauer 0002,Hardwaretestsprachen: Konzepte für den Entwurf.,"Technical University of Dortmund, Germany",1988,,"https://d-nb.info/891306358, https://d-nb.info/901169722",,,,,,,,,,,,,,,,,
Bernd Wiemann,Kommunikationsfunktionen für fehlertolerante Mehrrechnersysteme mit busartiger Verbindungsstruktur.,"Technical University Munich, Germany",1986,1-139,https://d-nb.info/871506327,,,,,,,,,,,,,,,,,
Klaus Helml,Ausfalltolerante verteilte Systeme.,"Ludwig Maximilian University of Munich, Germany",1988,1-282,https://d-nb.info/891361383,,,,,,,,,,,,,,,,,
Gunter Püschel,"Auswirkungen des wissenschaftlich-technischen Fortschritts auf das System der Planung, Lenkung und Kontrolle der Produktion unter besonderer Berücksichtigung der Automatisierung.","Dresden University of Technology, Germany",1984,,https://d-nb.info/850535859,,,,,,,,,,,,,,,,,
Werner Hansmann,Interaktiver Entwurf und geometrische Beschreibung glatter Übergänge zwischen räumlich gekrümmten Flächenstrukturen.,"University of Hamburg, Germany",1985,1-139,https://d-nb.info/870392301,,,,,,,,,,,,,,,,,
Johannes Pfeffer,App-Orchestrierung als Methode zur formalen Modellierung von App-Ensembles für industrielle Geschäftsprozesse = App-orchestration as a method for formal modelling of app-ensembles for industrial business processes.,"Dresden University of Technology, Germany",2020,,"https://nbn-resolving.org/urn:nbn:de:bsz:14-qucosa2-740397, https://d-nb.info/1229934146, https://d-nb.info/1231917326",,,,,,,,,,,,,,,,,
James Thomas Peter,Das Datenschutzgesetz im Privatbereich: unter besonderer Berücksichtigung seiner motivationalen Grundlage.,"University of Zurich, Switzerland",1994,1-349,https://d-nb.info/943588650,"Schulthess, Polygraph. Verlag",,,,,,,,,,,,,978-3-7255-3277-3,,,
Frank Zartmann,Denotationelle Analysen funktional-logischer Programme.,"RWTH Aachen University, Germany",1999,1-173,https://d-nb.info/959235795,,,,,,,,,,,,,,,,,
Holger Klus,Anwendungsarchitektur-konforme Konfiguration selbstorganisierender Softwaresysteme.,Clausthal University of Technology,2013,,"http://www.dr.hut-verlag.de/978-3-8439-1006-4.html, https://nbn-resolving.org/urn:nbn:de:101:1-2013062118876, https://d-nb.info/1036345831",Verlag Dr. Hut,,,,,,,,,,,,,,,,
Hans-Jürgen Plewan,Sprachkonzepte zur Ausnahmebehandlung für verteilte Programmierung mit asynchroner Kommunikation.,"Technical University Munich, Germany",1993,1-263,https://d-nb.info/931999316,,,,,,,,,,,,,,,,,
Reimund Hauer,Total-quality-Management in der Softwareproduktion: industrielle Leistungserstellung und Modelle eines umfassenden Qualitätsmanagements ; Merkmalsausprägungen zur Situation in der Softwareproduktion.,"Kaiserslautern University of Technology, Germany",1996,1-636,https://d-nb.info/946934738,Lang,,,,,,,,,,,,,3-631-49782-2,,,
René Ciak,Coercive functions from a topological viewpoint and properties of minimizing sets of convex functions appearing in image restoration.,"Kaiserslautern University of Technology, Germany",2015,,"http://kluedo.ub.uni-kl.de/frontdoor/index/index/docId/4100, https://nbn-resolving.org/urn:nbn:de:hbz:386-kluedo-41000, https://d-nb.info/1072410265",,,,,,,,,,,,,,,,,
