author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
"Albert Yu-Min Lin, Andrew Huynh, Luke Barrington, Gert R. G. Lanckriet",Search and Discovery Through Human Computation.,,2013,171-186,"https://doi.org/10.1007/978-1-4614-8806-4_16, https://www.wikidata.org/entity/Q105641806",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#LinHBL13,,,,,reference/sp/2013hc,,,,
"J. Rubén Titos Gil, Manuel E. Acacio",Hardware Approaches to Transactional Memory in Chip Multiprocessors.,,2015,805-835,https://doi.org/10.1007/978-1-4939-2092-1_27,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#GilA15,,,,,reference/sp/2015dc,,,,
"Haluk Damgacioglu, Emrah Celik, Chongli Yuan, Nurcin Celik",Dynamic Data Driven Application Systems for Identification of Biomarkers in DNA Methylation.,,2018,233-252,https://doi.org/10.1007/978-3-319-95504-9_12,,Handbook of Dynamic Data Driven Applications Systems,,,,,,db/reference/sp/dddas2018.html#DamgaciogluCYC18,,,,,reference/sp/2018dddas,,,,
"Gabriella Castelli, Marco Mamei, Alberto Rosi, Franco Zambonelli",Multiagent Environment Design for Pervasive Human-ICT Systems: The SAPERE Approach.,,2013,573-580,"https://doi.org/10.1007/978-1-4614-8806-4_44, https://www.wikidata.org/entity/Q105641848",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#CastelliMRZ13,,,,,reference/sp/2013hc,,,,
Ritu Arora,Data Management: State-of-the-Practice at Open-Science Data Centers.,,2015,1095-1108,https://doi.org/10.1007/978-1-4939-2092-1_37,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#Arora15,,,,,reference/sp/2015dc,,,,
"JingZheng Wu, Yanjun Wu, Bei Guan, Yuqi Lin, Samee U. Khan, Nasro Min-Allah, Yongji Wang 0002",C2Hunter: Detection and Mitigation of Covert Channels in Data Centers.,,2015,961-996,https://doi.org/10.1007/978-1-4939-2092-1_32,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#WuWGLKMW15,,,,,reference/sp/2015dc,,,,
"Marco de Gemmis, Pasquale Lops, Cataldo Musto, Fedelucio Narducci, Giovanni Semeraro",Semantics-Aware Content-Based Recommender Systems.,,2015,119-159,"https://doi.org/10.1007/978-1-4899-7637-6_4, https://www.wikidata.org/entity/Q62672357",,Recommender Systems Handbook,,,,,,db/reference/sp/rsh2015.html#GemmisLMNS15,,,,,reference/sp/2015rsh,,,,
"Susana Montes, Ignacio Montes, Tania Iglesias","Fuzzy Relations: Past, Present, and Future.",,2015,171-181,https://doi.org/10.1007/978-3-662-43505-2_11,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#MontesMI15,,,,,reference/sp/2015ci,,,,
Winter Mason,Participation.,,2013,675-677,"https://doi.org/10.1007/978-1-4614-8806-4_53, https://www.wikidata.org/entity/Q105641858",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#Mason13a,,,,,reference/sp/2013hc,,,,
"Gediminas Adomavicius, YoungOk Kwon",Multi-Criteria Recommender Systems.,,2015,847-880,https://doi.org/10.1007/978-1-4899-7637-6_25,,Recommender Systems Handbook,,,,,,db/reference/sp/rsh2015.html#AdomaviciusK15,,,,,reference/sp/2015rsh,,,,
